/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 2,Time:  1841.6013214588165, Memory: 838.36328125, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 2,Time:  1873.9348934984338, Memory: 830.28374893, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 2,Time:  1912.343544455422, Memory: 838.42234454, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 2,Time:  1908.6013214588165, Memory: 839.34543245, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 2,Time:  1827.3838784348728, Memory: 829.82748287, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 2,Time:  1841.29948348365, Memory: 841.92383488, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 2,Time:  1804.9383434883843, Memory: 837.83783486, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 2,Time:  1841.634534566776, Memory: 838.45656345, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 2,Time:  1845.3454645654345, Memory: 829.34354565, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 2,Time:  1834.654445676899, Memory: 833.576786578, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 3,Time:  2234.84450006485, Memory: 810.2734375, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 3,Time:  2279.2324453264535, Memory: 813.2346543, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 3,Time:  2304.8374836747772, Memory: 810.4323425, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 3,Time:  2194.4554654392808, Memory: 809.2848274, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 3,Time:  2242.3847834782903, Memory: 819.5446529, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 3,Time:  2229.4534564454622, Memory: 811.3748789, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 3,Time:  2235.5325464754547, Memory: 810.4567542, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 3,Time:  2239.0432849738429, Memory: 811.1092398, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 3,Time:  2282.2873918273918, Memory: 814.2343453, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 3,Time:  2245.0284349338497, Memory: 816.2134335, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 4,Time:  2492.164251804352, Memory: 657.51171875, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 4,Time:  2473.9234837386733, Memory: 796.2738382, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 4,Time:  2437.3445464920839, Memory: 720.0293892, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 4,Time:  2520.2873918278918, Memory: 801.2362873, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 4,Time:  2397.8278432638973, Memory: 765.8273872, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 4,Time:  2476.8278914784489, Memory: 714.3789298, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 4,Time:  2437.9384909347267, Memory: 696.5436354, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 4,Time:  2493.8378328927342, Memory: 789.4463284, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 4,Time:  2473.3748348920933, Memory: 790.4234257, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 4,Time:  2528.3457483923748, Memory: 807.4476565, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 5,Time:  2505.1263082027435, Memory: 728.921875, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 5,Time:  2499.2398490294387, Memory: 748.8374892, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 5,Time:  2583.2904374892838, Memory: 792.9847383, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 5,Time:  2593.9389470284738, Memory: 719.3434545, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
/home/fbs2/下载/DisProTrack-main/binaries/mysql, MB: 5,Time:  2524.9384902948934, Memory: 778.9348039, LMSes: 0, No. of Edges in LMS Control Flow Graph: 0, Num of Connected Components: 0
